"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"init-table-1","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.564","1","EXECUTED","8:0d4df800230b9c2fb6364b975f42fd58","createTable tableName=dis_alerta","","","4.4.3","()","","8071987254"
"init-table-2","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.571","2","EXECUTED","8:53083bd179fb33481ec2efd31563bb77","createTable tableName=dis_avis","","","4.4.3","()","","8071987254"
"init-table-3","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.574","3","EXECUTED","8:e55e80a48a3d5a8dde5ad3419cbb39fe","createTable tableName=dis_backoffice","","","4.4.3","()","","8071987254"
"init-table-4","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.577","4","EXECUTED","8:7d61e3da1f683b502b5f3c51e9d0d503","createTable tableName=dis_bustia","","","4.4.3","()","","8071987254"
"init-table-5","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.58","5","EXECUTED","8:caa35e4a2b9c2e0a11437d29a7397992","createTable tableName=dis_bustia_default","","","4.4.3","()","","8071987254"
"init-table-6","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.582","6","EXECUTED","8:3933865ba0227fb597d49935bddb0443","createTable tableName=dis_bustia_favorit","","","4.4.3","()","","8071987254"
"init-table-7","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.586","7","EXECUTED","8:c672590659885a91af63a4441cb0f8b4","createTable tableName=dis_bustia_user_filtre","","","4.4.3","()","","8071987254"
"init-table-8","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.589","8","EXECUTED","8:62452d98d9dc4ffa783ba417bb034fdf","createTable tableName=dis_config","","","4.4.3","()","","8071987254"
"init-table-9","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.593","9","EXECUTED","8:6e974318fb3b5c0265ecfa9b6d8b635c","createTable tableName=dis_config_group","","","4.4.3","()","","8071987254"
"init-table-10","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.596","10","EXECUTED","8:8f726a180be1ded75e0f08adb71a7e58","createTable tableName=dis_config_type","","","4.4.3","()","","8071987254"
"init-table-11","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.601","11","EXECUTED","8:26e61dbd2237137eb5444dd0862c78a3","createTable tableName=dis_contingut","","","4.4.3","()","","8071987254"
"init-table-12","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.604","12","EXECUTED","8:b4b9c36434881dd989144af2228959fd","createTable tableName=dis_cont_comment","","","4.4.3","()","","8071987254"
"init-table-13","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.608","13","EXECUTED","8:ad0d1d7e0d70ea4924702ed636c7e213","createTable tableName=dis_cont_log","","","4.4.3","()","","8071987254"
"init-table-14","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.611","14","EXECUTED","8:1ef7a52f3ffb84fd2c70076f442b2998","createTable tableName=dis_cont_log_param","","","4.4.3","()","","8071987254"
"init-table-15","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.615","15","EXECUTED","8:07519d2dd479a99812c188ffbdc0f22e","createTable tableName=dis_cont_mov","","","4.4.3","()","","8071987254"
"init-table-16","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.618","16","EXECUTED","8:6562f08c9202a7586f1f350c1403b2a0","createTable tableName=dis_cont_mov_email","","","4.4.3","()","","8071987254"
"init-table-17","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.622","17","EXECUTED","8:a8ca80a4bc0d2517721fa4c34e845283","createTable tableName=dis_dada","","","4.4.3","()","","8071987254"
"init-table-18","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.626","18","EXECUTED","8:f93292aa2e5c17b7a9db2ca404903fae","createTable tableName=dis_domini","","","4.4.3","()","","8071987254"
"init-table-19","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.631","19","EXECUTED","8:4541bfaebbd8de13512d8c927101319d","createTable tableName=dis_entitat","","","4.4.3","()","","8071987254"
"init-table-20","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.635","20","EXECUTED","8:ac53c59487bf39da06ea3447576a45f8","createTable tableName=dis_his_anotacio","","","4.4.3","()","","8071987254"
"init-table-21","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.638","21","EXECUTED","8:f7b9ba2bb5d665ffd5f8ee0ec816ffcf","createTable tableName=dis_his_bustia","","","4.4.3","()","","8071987254"
"init-table-22","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.642","22","EXECUTED","8:d0e02d2997ee1d277b7116ab18de2193","createTable tableName=dis_his_estat","","","4.4.3","()","","8071987254"
"init-table-23","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.647","23","EXECUTED","8:641568279248d128d9da895b3d0b595e","createTable tableName=dis_metadada","","","4.4.3","()","","8071987254"
"init-table-24","limit","db/changelog/00_initial_schema_table.yaml","2024-02-16T09:26:27.651","24","EXECUTED","8:277314b8d41144c5fa16ab848e68e313","createTable tableName=dis_mon_int","","","4.4.3","()","","8071987254"
